date,time,origin,destination,total_count
2018-02-2,07:00:00,AM,YS,782
2018-02-2,08:00:00,AM,AM,5407
2018-02-2,08:00:00,AM,BD,315
2018-02-2,08:00:00,AM,BK,130
2018-02-2,08:00:00,AM,BL,40
2018-02-2,08:00:00,AM,BM,593
2018-02-2,08:00:00,AM,BP,40
2018-02-2,08:00:00,AM,BS,1301
2018-02-2,08:00:00,AM,BT,165
2018-02-2,08:00:00,AM,CB,40
2018-02-2,08:00:00,AM,CC,45
2018-02-2,08:00:00,AM,CH,177
2018-02-2,08:00:00,AM,CK,62
2018-02-2,08:00:00,AM,CL,100
2018-02-2,08:00:00,AM,DT,1983
2018-02-2,08:00:00,AM,GL,721
2018-02-2,08:00:00,AM,HG,602
2018-02-2,08:00:00,AM,JE,189
2018-02-2,08:00:00,AM,JW,95
2018-02-2,08:00:00,AM,KL,473
2018-02-2,08:00:00,AM,LK,40
2018-02-2,08:00:00,AM,MD,40
2018-02-2,08:00:00,AM,ME,40
2018-02-2,08:00:00,AM,MP,40
2018-02-2,08:00:00,AM,MS,40
2018-02-2,08:00:00,AM,MU,151
2018-02-2,08:00:00,AM,NA,40
2018-02-2,08:00:00,AM,NE,40
2018-02-2,08:00:00,AM,NT,126
2018-02-2,08:00:00,AM,NV,603
2018-02-2,08:00:00,AM,OR,575
2018-02-2,08:00:00,AM,OT,269
2018-02-2,08:00:00,AM,PG,86
2018-02-2,08:00:00,AM,PL,51
2018-02-2,08:00:00,AM,PN,53
2018-02-2,08:00:00,AM,PR,73
2018-02-2,08:00:00,AM,QT,832
2018-02-2,08:00:00,AM,RC,255
2018-02-2,08:00:00,AM,RV,61
2018-02-2,08:00:00,AM,SB,219
2018-02-2,08:00:00,AM,SE,227
2018-02-2,08:00:00,AM,SG,1616
2018-02-2,08:00:00,AM,SI,49
2018-02-2,08:00:00,AM,SK,88
2018-02-2,08:00:00,AM,SL,57
2018-02-2,08:00:00,AM,SM,40
2018-02-2,08:00:00,AM,SR,212
2018-02-2,08:00:00,AM,SV,40
2018-02-2,08:00:00,AM,TH,40
2018-02-2,08:00:00,AM,TM,335
2018-02-2,08:00:00,AM,TN,120
2018-02-2,08:00:00,AM,TP,663
2018-02-2,08:00:00,AM,TS,77
2018-02-2,08:00:00,AM,WC,63
2018-02-2,08:00:00,AM,WD,257
2018-02-2,08:00:00,AM,WI,40
2018-02-2,08:00:00,AM,YS,575
2018-02-2,09:00:00,AM,AM,5328
2018-02-2,09:00:00,AM,BD,238
2018-02-2,09:00:00,AM,BK,108
2018-02-2,09:00:00,AM,BL,40
2018-02-2,09:00:00,AM,BM,370
2018-02-2,09:00:00,AM,BP,40
2018-02-2,09:00:00,AM,BS,1241
2018-02-2,09:00:00,AM,BT,127
2018-02-2,09:00:00,AM,CB,40
2018-02-2,09:00:00,AM,CC,40
2018-02-2,09:00:00,AM,CH,115
2018-02-2,09:00:00,AM,CK,47
2018-02-2,09:00:00,AM,CL,101
2018-02-2,09:00:00,AM,DT,819
2018-02-2,09:00:00,AM,GL,473
2018-02-2,09:00:00,AM,HG,477
2018-02-2,09:00:00,AM,JE,127
2018-02-2,09:00:00,AM,JW,93
2018-02-2,09:00:00,AM,KL,441
2018-02-2,09:00:00,AM,LK,40
2018-02-2,09:00:00,AM,MD,40
2018-02-2,09:00:00,AM,ME,40
2018-02-2,09:00:00,AM,MP,59
2018-02-2,09:00:00,AM,MS,40
2018-02-2,09:00:00,AM,MU,117
2018-02-2,09:00:00,AM,NA,40
2018-02-2,09:00:00,AM,NE,40
2018-02-2,09:00:00,AM,NT,96
2018-02-2,09:00:00,AM,NV,471
2018-02-2,09:00:00,AM,OR,451
2018-02-2,09:00:00,AM,OT,201
2018-02-2,09:00:00,AM,PG,73
2018-02-2,09:00:00,AM,PL,40
2018-02-2,09:00:00,AM,PN,40
2018-02-2,09:00:00,AM,PR,55
2018-02-2,09:00:00,AM,QT,454
2018-02-2,09:00:00,AM,RC,298
2018-02-2,09:00:00,AM,RV,53
2018-02-2,09:00:00,AM,SB,140
2018-02-2,09:00:00,AM,SE,251
2018-02-2,09:00:00,AM,SG,1369
2018-02-2,09:00:00,AM,SI,40
2018-02-2,09:00:00,AM,SK,59
2018-02-2,09:00:00,AM,SL,40
2018-02-2,09:00:00,AM,SR,113
2018-02-2,09:00:00,AM,SV,40
2018-02-2,09:00:00,AM,TM,238
2018-02-2,09:00:00,AM,TN,107
2018-02-2,09:00:00,AM,TP,483
2018-02-2,09:00:00,AM,TS,45
2018-02-2,09:00:00,AM,WC,40
2018-02-2,09:00:00,AM,WD,228
2018-02-2,09:00:00,AM,WI,40
2018-02-2,09:00:00,AM,YS,494
2018-02-2,10:00:00,AM,AM,5392
2018-02-2,10:00:00,AM,BD,217
2018-02-2,10:00:00,AM,BK,92
2018-02-2,10:00:00,AM,BL,40
2018-02-2,10:00:00,AM,BM,304
2018-02-2,10:00:00,AM,BP,45
2018-02-2,10:00:00,AM,BS,1077
2018-02-2,10:00:00,AM,BT,113
2018-02-2,10:00:00,AM,CB,40
2018-02-2,10:00:00,AM,CC,40
2018-02-2,10:00:00,AM,CH,76
2018-02-2,10:00:00,AM,CK,49
2018-02-2,10:00:00,AM,CL,61
2018-02-2,10:00:00,AM,DT,520
2018-02-2,10:00:00,AM,GL,363
2018-02-2,10:00:00,AM,HG,478
2018-02-2,10:00:00,AM,JE,95
2018-02-2,10:00:00,AM,JW,95
2018-02-2,10:00:00,AM,KL,363
2018-02-2,10:00:00,AM,LK,40
2018-02-2,10:00:00,AM,MD,40
2018-02-2,10:00:00,AM,ME,40
2018-02-2,10:00:00,AM,MP,54
2018-02-2,10:00:00,AM,MS,40
2018-02-2,10:00:00,AM,MU,99
2018-02-2,10:00:00,AM,NA,40
2018-02-2,10:00:00,AM,NE,40
2018-02-2,10:00:00,AM,NT,73
2018-02-2,10:00:00,AM,NV,328
2018-02-2,10:00:00,AM,OR,377
2018-02-2,10:00:00,AM,OT,155
2018-02-2,10:00:00,AM,PG,112
2018-02-2,10:00:00,AM,PL,40
2018-02-2,10:00:00,AM,PN,42
2018-02-2,10:00:00,AM,PR,76
2018-02-2,10:00:00,AM,QT,285
2018-02-2,10:00:00,AM,RC,285
2018-02-2,10:00:00,AM,RV,57
2018-02-2,10:00:00,AM,SB,178
2018-02-2,10:00:00,AM,SE,298
2018-02-2,10:00:00,AM,SG,1330
2018-02-2,10:00:00,AM,SI,46
2018-02-2,10:00:00,AM,SK,58
2018-02-2,10:00:00,AM,SL,40
2018-02-2,10:00:00,AM,SM,40
2018-02-2,10:00:00,AM,SR,90
2018-02-2,10:00:00,AM,SV,40
2018-02-2,10:00:00,AM,TM,220
2018-02-2,10:00:00,AM,TN,66
2018-02-2,10:00:00,AM,TP,390
2018-02-2,10:00:00,AM,TS,40
2018-02-2,10:00:00,AM,WC,40
2018-02-2,10:00:00,AM,WD,225
2018-02-2,10:00:00,AM,WI,40
2018-02-2,10:00:00,AM,YS,570
2018-02-2,11:00:00,AM,AM,5898
2018-02-2,11:00:00,AM,BD,196
