,date,time,origin,origin_name,origin_lon,origin_lat,destination,dest_name,dest_lon,dest_lat,total_count,key,driving,public,ratio,difference
15013,2/2/18,0:00:00,QT,QUEENSTOWN,103.78434,1.28916,BM,BUKIT MERAH,103.82311,1.27548,162,QTBM,8,35,4.38,27
15037,2/2/18,0:00:00,QT,QUEENSTOWN,103.78434,1.28916,BT,BUKIT TIMAH,103.79069,1.32999,115,QTBT,15,37,2.47,22
15061,2/2/18,0:00:00,QT,QUEENSTOWN,103.78434,1.28916,CL,CLEMENTI,103.76074,1.3176,165,QTCL,7,31,4.43,24
15085,2/2/18,0:00:00,QT,QUEENSTOWN,103.78434,1.28916,JW,JURONG WEST,103.70487,1.3416,53,QTJW,18,48,2.67,30
15106,2/2/18,0:00:00,QT,QUEENSTOWN,103.78434,1.28916,TN,TANGLIN,103.8175,1.30828,50,QTTN,12,44,3.67,32
15730,2/2/18,0:00:00,RC,ROCHOR,103.85325,1.30426,BD,BEDOK,103.92841,1.32405,41,RCBD,18,37,2.06,19
15752,2/2/18,0:00:00,RC,ROCHOR,103.85325,1.30426,BM,BUKIT MERAH,103.82311,1.27548,51,RCBM,15,37,2.47,22
15774,2/2/18,0:00:00,RC,ROCHOR,103.85325,1.30426,DT,DOWNTOWN CORE,103.8543,1.28508,46,RCDT,12,26,2.17,14
15797,2/2/18,0:00:00,RC,ROCHOR,103.85325,1.30426,GL,GEYLANG,103.88953,1.3209,72,RCGL,18,32,1.78,14
15821,2/2/18,0:00:00,RC,ROCHOR,103.85325,1.30426,KL,KALLANG,103.86643,1.31033,157,RCKL,9,21,2.33,12
15845,2/2/18,0:00:00,RC,ROCHOR,103.85325,1.30426,NV,NOVENA,103.83531,1.32699,49,RCNV,9,21,2.33,12
16596,2/2/18,0:00:00,SB,SEMBAWANG,103.81883,1.45575,WD,WOODLANDS,103.78771,1.44068,159,SBWD,9,20,2.22,11
16620,2/2/18,0:00:00,SB,SEMBAWANG,103.81883,1.45575,YS,YISHUN,103.83756,1.41544,77,SBYS,7,16,2.29,9
17131,2/2/18,0:00:00,SE,SENGKANG,103.8877,1.39127,HG,HOUGANG,103.8898,1.36364,223,SEHG,12,20,1.67,8
17155,2/2/18,0:00:00,SE,SENGKANG,103.8877,1.39127,PG,PUNGGOL,103.91004,1.40536,59,SEPG,9,27,3.00,18
17179,2/2/18,0:00:00,SE,SENGKANG,103.8877,1.39127,PR,PASIR RIS,103.9483,1.37862,46,SEPR,13,35,2.69,22
17198,2/2/18,0:00:00,SE,SENGKANG,103.8877,1.39127,SG,SERANGOON,103.86782,1.3652,69,SESG,13,35,2.69,22
17222,2/2/18,0:00:00,SE,SENGKANG,103.8877,1.39127,SL,SELETAR,103.87709,1.41434,47,SESL,9,40,4.44,31
17694,2/2/18,0:00:00,SG,SERANGOON,103.86782,1.3652,AM,ANG MO KIO,103.8421,1.38009,246,SGAM,11,29,2.64,18
17718,2/2/18,0:00:00,SG,SERANGOON,103.86782,1.3652,BS,BISHAN,103.84042,1.35496,55,SGBS,7,27,3.86,20
