origin,destination,road,public
CHANGI,MARINA EAST,21,94
CHANGI,MARINA SOUTH,19,98
CHANGI,MARINE PARADE,17,73
CHANGI,MUSEUM,21,65
CHANGI,NEWTON,22,83
CHANGI,NORTH-EASTERN ISLANDS,1000,83
CHANGI,NOVENA,21,82
CHANGI,ORCHARD,22,79
CHANGI,OUTRAM,23,66
CHANGI,PASIR RIS,10,35
CHANGI,PAYA LEBAR,20,96
CHANGI,PIONEER,19,72
CHANGI,PUNGGOL,16,52
CHANGI,QUEENSTOWN,1000,52
CHANGI,RIVER VALLEY,26,91
CHANGI,ROCHOR,19,66
CHANGI,SELETAR,18,68
CHANGI,SEMBAWANG,32,85
CHANGI,SENGKANG,18,65
CHANGI,SERANGOON,23,64
CHANGI,SIMPANG,1000,64
CHANGI,SINGAPORE RIVER,26,73
CHANGI,SOUTHERN ISLANDS,16,77
CHANGI,STRAITS VIEW,19,67
CHANGI,SUNGEI KADUT,30,113
CHANGI,TAMPINES,6,38
CHANGI,TANGLIN,28,90
CHANGI,TENGAH,1000,90
CHANGI,TOA PAYOH,20,92
CHANGI,TUAS,47,149
CHANGI,WESTERN ISLANDS,1000,149
CHANGI,WESTERN WATER CATCHMENT,41,118
CHANGI,WOODLANDS,29,98
CHANGI,YISHUN,27,75
